model,dataset,layer,tensor_type,group_index,lower_threshold,upper_threshold,width,abs_max,baseline_dataset,absmax_abs_diff_from_baseline,absmax_rel_diff_from_baseline,width_abs_diff_from_baseline,width_rel_diff_from_baseline
OPT-350M,winogrande,23,value,0,-1.4332430507596685,1.4207161509717838,2.8539592017314526,1.4332430507596685,wikitext,-0.12820420101338104,-0.0821060083,-0.25747973887138453,-0.08275262468
OPT-350M,winogrande,23,value,1,-0.023862421747823354,0.021948935577223973,0.045811357325047326,0.023862421747823354,wikitext,-0.029370190591494025,-0.5517330317,-0.05702790291154399,-0.5545343557
OPT-350M,winogrande,23,value,2,-0.0005769961540776158,-0.0005478268311356784,2.916932294193741e-05,0.0005769961540776158,wikitext,-0.0011966757468947911,-0.6746883379,2.821395771362284e-05,29.53211701
OPT-350M,hellaswag,0,key,0,-0.9428106317723253,0.9320130907296986,1.874823722502024,0.9428106317723253,wikitext,0.07487512645317629,0.08626807637,0.14682408265273295,0.08496765813
OPT-350M,hellaswag,0,key,1,-0.09939502901834366,0.09496661941769678,0.19436164843604042,0.09939502901834366,wikitext,0.06511751211896422,1.899714974,0.13442177022931392,2.242609999
OPT-350M,hellaswag,0,key,2,-0.0032393636969555535,-0.0031865747293568975,5.278896759865594e-05,0.0032393636969555535,wikitext,-0.0010666449328095174,-0.247710821,5.2099075539979115e-05,75.51772032
OPT-350M,hellaswag,1,key,0,-4.983542276435422,4.764378639151825,9.747920915587247,4.983542276435422,wikitext,-1.011193982429826,-0.168680312,-2.2328525773205534,-0.1863696512
OPT-350M,hellaswag,1,key,1,-0.1224272872044892,0.1832717422293405,0.3056990294338297,0.1832717422293405,wikitext,-0.007028083236085031,-0.03693163259,-0.016911162831241222,-0.05241980333
OPT-350M,hellaswag,1,key,2,0.03233080868822564,0.03240841262024891,7.760393202327354e-05,0.03240841262024891,wikitext,0.0028509478042028115,0.09645440913,7.60888749532368e-05,50.22178798
OPT-350M,hellaswag,2,key,0,-4.864809596462822,4.7191726865113965,9.583982282974219,4.864809596462822,wikitext,-0.5674266624024256,-0.1044554462,-1.2568311035506028,-0.1159351295
OPT-350M,hellaswag,2,key,1,-0.023285339861228525,0.3409633425998723,0.36424868246110087,0.3409633425998723,wikitext,0.12259080824703544,0.5613838233,0.025932542861145214,0.0766518053
OPT-350M,hellaswag,2,key,2,0.15702435513305285,0.15711618077340733,9.182564035448149e-05,0.15711618077340733,wikitext,0.1077780226326161,2.184476006,8.857908949011506e-05,27.28406028
OPT-350M,hellaswag,3,key,0,-4.452723720264043,4.528783550255325,8.981507270519367,4.528783550255325,wikitext,-0.5791785508085052,-0.1133874017,-1.1310259741614832,-0.1118439808
OPT-350M,hellaswag,3,key,1,-0.1129105600596276,0.20350942494103405,0.31641998500066165,0.20350942494103405,wikitext,0.016091670896264537,0.08585990681,0.0026633533794294117,0.008488596291
OPT-350M,hellaswag,3,key,2,0.04483089696456789,0.04490973629026785,7.883932569995727e-05,0.04490973629026785,wikitext,0.014231994989292673,0.4639192583,7.754070535421348e-05,59.71006508
