model,gpu,layer,tensor_type,group_index,lower_threshold,upper_threshold,width,abs_max
OPT-2.7B,RTX 5060,4,key,1,-0.1676311087101064,0.32464469747340424,0.49227580618351063,0.32464469747340424
OPT-2.7B,RTX 5060,4,key,2,0.07946950493129433,0.07947080355164007,1.298620345743795e-06,0.07947080355164007
OPT-2.7B,RTX 5060,5,key,0,-9.27587544326241,9.149213209219859,18.42508865248227,9.27587544326241
OPT-2.7B,RTX 5060,5,key,1,-0.25889814660904253,0.16688570063164893,0.42578384724069146,0.25889814660904253
OPT-2.7B,RTX 5060,5,key,2,-0.049312293952238476,-0.04931012958499557,2.164367242908638e-06,0.049312293952238476
OPT-2.7B,RTX 5060,6,key,0,-6.349041445035461,6.355607269503546,12.704648714539006,6.355607269503546
OPT-2.7B,RTX 5060,6,key,1,-0.15491415253767732,0.2009563040226064,0.3558704565602837,0.2009563040226064
OPT-2.7B,RTX 5060,6,key,2,0.02760996717087766,0.02761040004432624,4.328734485824215e-07,0.02761040004432624
OPT-2.7B,RTX 5060,7,key,0,-7.181986923758865,7.16228945035461,14.344276374113475,7.181986923758865
OPT-2.7B,RTX 5060,7,key,1,-0.24173298287898937,0.2149961214539007,0.45672910433289005,0.24173298287898937
OPT-2.7B,RTX 5060,7,key,2,-0.010588530953048814,-0.010587178223521997,1.3527295268170314e-06,0.010588530953048814
OPT-2.7B,RTX 5060,8,key,0,-9.659297429078014,9.823969414893616,19.48326684397163,9.823969414893616
OPT-2.7B,RTX 5060,8,key,1,-0.20772211602393617,0.32424125941932624,0.5319633754432624,0.32424125941932624
OPT-2.7B,RTX 5060,8,key,2,0.05509266954787234,0.05509418460494238,1.5150570700367405e-06,0.05509418460494238
OPT-2.7B,RTX 5060,9,key,0,-8.311890514184396,8.6192929964539,16.9311835106383,8.6192929964539
OPT-2.7B,RTX 5060,9,key,1,-0.2554360247672872,0.2447059577238475,0.5001419824911347,0.2554360247672872
